title,url,funding_amount,deadline,program_type,eligibility,source_type,language
New_Markets_Tax_Credit_Program_FactSheet_Spanish.pdf,https://www.cdfifund.gov/sites/cdfi/files/2022-11/New_Markets_Tax_Credit_Program_FactSheet_Spanish.pdf,$71,No se menciona una fecha límite específica en el texto proporcionado,Tax Credit,"Comunidades en dificultades económicas, empresas que operan en comunidades de bajos ingresos",PDF,es
New_Markets_Tax_Credit_Program_FactSheet.pdf,https://www.cdfifund.gov/sites/cdfi/files/2022-11/New_Markets_Tax_Credit_Program_FactSheet.pdf,39%,No specific deadline mentioned in the text.,Tax Credit,Private investors can participate in the New Markets Tax Credit Program by investing in Community Development Entities (CDEs) to support businesses operating in low-income communities.,PDF,en
2020-introduction-to-the-nmtc-program_-final.pdf,https://www.cdfifund.gov/sites/cdfi/files/documents/2020-introduction-to-the-nmtc-program_-final.pdf,39%,No specific deadline mentioned in the text.,Tax Credit,Investors who make QEIs in CDEs are eligible for the New Markets Tax Credit Program. CDEs use the proceeds of these investments to make Qualified Low-Income Community Investments (QLICIs) in Low-Income Communities.,PDF,en
CY_2023_NMTC_Application_FAQ.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_NMTC_Application_FAQ.pdf,New Markets Tax Credit Program offers funding through NMTC Allocations,Deadlines and dates vary depending on the round of application,Tax Credit,"Entities eligible to apply include those who previously received NMTC Allocations, CDFI Program awards, BEA Program awards, or their affiliates",PDF,en
CY_2024-2025_NMTC_Program_Allocation_Application_AMIS_Navigation_Guide.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-11/CY_2024-2025_NMTC_Program_Allocation_Application_AMIS_Navigation_Guide.pdf,NMTC ALLOCATION,November 2024,Tax Credit,Open to applicants who meet the software and hardware requirements,PDF,en
CY_2024-2025_Introduction_to_the_NMTC_Program.pdf,https://www.cdfifund.gov/sites/cdfi/files/2025-04/CY_2024-2025_Introduction_to_the_NMTC_Program.pdf,$10,Not specified,Tax Credit,Investors that make Qualified Equity Investments (QEIs) in certified financial intermediaries called “Community Development Entities (CDEs)”,PDF,en
CY_2023_NMTC_Program_Application_Roadmap_Presentation.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_NMTC_Program_Application_Roadmap_Presentation.pdf,New Markets Tax Credit Program,Key Dates and Deadlines - See Table 1: CY 2023 Allocation Round NMTC Program Critical Deadlines for Applicants,Tax Credit,"Applicants must meet all eligibility requirements in the 2023 NOAA, including the 'QLICI Uses and Activities' commitment outlined in Application Q. 13(a).",PDF,en
Updated_2024-2025_NMTC_Application_FAQs-508C.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-12/Updated_2024-2025_NMTC_Application_FAQs-508C.pdf,New Markets Tax Credit Program,"January 17, 2025, 11:59 pm",Tax Credit,CY 2024-25 NMTC Applicants,PDF,en
CY_2024-2025_NMTC_Program_Allocaiton_Application_Roadmap_Presentation.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-11/CY_2024-2025_NMTC_Program_Allocaiton_Application_Roadmap_Presentation.pdf,New Markets Tax Credit Program Allocation Application for CY 2024-2025,Key dates and deadlines mentioned in NOAA Table 1 for CY 2024-2025 Allocation Round,Tax Credit,"Applicants must meet eligibility requirements including being certified as a CDE, meeting QLICI Uses and Activities commitment, and complying with reporting requirements and previous award agreements",PDF,en
CY_2023_NMTC_Program_Application.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_NMTC_Program_Application.pdf,New Markets Tax Credit Program funding,2023 Application Round,Tax Credit,Organizations seeking certification as a Community Development Entity (CDE),PDF,en
CY_2023_NMTC_Program_Application_AMIS_Navigation_Guide.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_NMTC_Program_Application_AMIS_Navigation_Guide.pdf,NMTC ALLOCATION,October 2023,Tax Credit,Open to applicants who meet the requirements outlined in the user guide,PDF,en
CY_2024-2025_NMTC_Program_Allocation_Application.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-11/CY_2024-2025_NMTC_Program_Allocation_Application.pdf,New Markets Tax Credits (NMTC) allocation authority,2024-2025 application period,Tax Credit,Applicants for NMTC Program allocation authority,PDF,en
CY_2023_Introduction_to_the_NMTC_Program_0.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_Introduction_to_the_NMTC_Program_0.pdf,39%,No specific deadline mentioned in the text.,Tax Credit,Investors who make QEIs in CDEs are eligible for the tax credits provided by the New Markets Tax Credit Program.,PDF,en
CY_2023_NMTC_NOAA_Federal_Register.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-10/CY_2023_NMTC_NOAA_Federal_Register.pdf,$5,"Various deadlines ranging from November 8, 2023, to March 28, 2024",Tax Credit,Certified Community Development Entities (CDEs) can apply for NMTC Allocations,PDF,en
2024-2025_NMTC_NOAA_final.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-11/2024-2025_NMTC_NOAA_final.pdf,New Markets Tax Credit (NMTC) Program for the Calendar Years (CY) 2024–2025,"Various deadlines ranging from December 3, 2024, to January 29, 2025",Tax Credit,Entities interested in obtaining NMTC allocations and meeting the specified requirements,PDF,en
New Markets Tax Credit Program,https://www.cdfifund.gov/programs-training/programs/new-markets-tax-credit/apply-step,New Markets Tax Credit Program offers funding through the NMTC Program. Specific dollar amounts or percentages are not mentioned.,"Application deadline for the current round of the NMTC Program is January 29, 2025.",Tax Credit,Eligibility criteria and application process details are provided on the official website of the Community Development Financial Institutions Fund.,HTML,en
CY_2023_NMTC_AA_Final.pdf,https://www.cdfifund.gov/sites/cdfi/files/2024-08/CY_2023_NMTC_AA_Final.pdf,NMTC Allocation Amount: Rural CDE* - Applicable/Not Applicable,"Date of Applicable Notice of Allocation Availability: October 24, 2023",Tax Credit,"Eligible Activities: Investments in, or loans to, QALICBs, Investments in, or loans to, other CDEs, Purchase of loans from other CDEs, Financial Counseling and Other Services",PDF,en
CY_2022_NMTC_Allocation_Agreement_DD_Approved_508C.pdf,https://www.cdfifund.gov/sites/cdfi/files/2023-08/CY_2022_NMTC_Allocation_Agreement_DD_Approved_508C.pdf,NMTC Allocation Amount: Rural CDE*: Applicable/Not Applicable,"Date of Applicable Notice of Allocation Availability: November 22, 2022",Tax Credit,"Eligible Activities: Investments in, or loans to, QALICBs, Investments in, or loans to, other CDEs, Purchase of loans from other CDEs, Financial Counseling and Other Services",PDF,en
Revised_NMTC_CY_2021_Allocation_Agreement.pdf,https://www.cdfifund.gov/sites/cdfi/files/2022-10/Revised_NMTC_CY_2021_Allocation_Agreement.pdf,NMTC Allocation Amount: Rural CDE* - Applicable/Not Applicable,"Date of Applicable Notice of Allocation Availability: November 8, 2021",Tax Credit,"Eligible Activities: Investments in, or loans to, QALICBs, Investments in, or loans to, other CDEs, Purchase of loans from other CDEs, Financial Counseling and Other Services",PDF,en
2019-allocation-agreement-final-version-for-web-508-compliant.pdf,https://www.cdfifund.gov/sites/cdfi/files/documents/2019-allocation-agreement-final-version-for-web-508-compliant.pdf,NMTC Allocation Amount: Rural CDE*: Applicable/Not Applicable,"Date of Applicable Notice of Allocation Authority: September 6, 2019 Announcement Date: [Date] Allocation Authority: CY 2019",Tax Credit,"Eligible Activities: Investments in, or loans to, QALICBs, Investments in, or loans to, other CDEs, Purchase of loans from other CDEs, Financial Counseling and Other Services",PDF,en
